south_island_hector’s_dolphin,south_island_hector’s_dolphin,C._h._hectori,
maui_dolphin,maui_dolphin,C._h._maui,"maui_dolphin,_north_island_hector’s_dolphin"
common_dolphin,common_dolphin,Delphinus_delphis_delphis,
eastern_north_pacific_long-beaked_common_dolphin,eastern_north_pacific_long-beaked_common_dolphin,Delphinus_delphis_bairdii,
black_sea_common_dolphin,black_sea_common_dolphin,Delphinus_delphis_ponticus,
indo-pacific_common_dolphin,indo-pacific_common_dolphin,Delphinus_delphis_tropicalis,
pygmy_killer_whale,pygmy_killer_whale,Feresa_attenuata,
short-finned_pilot_whale,short-finned_pilot_whale,Globicephala_macrorhynchus,
long-finned_pilot_whale,long-finned_pilot_whale,Globicephala_melas,
southern_long-finned_pilot_whale,southern_long-finned_pilot_whale,G._m._edwardii,
north_atlantic_long-finned_pilot_whale,north_atlantic_long-finned_pilot_whale,G._m._melas,
risso’s_dolphin,risso’s_dolphin,Grampus_griseus,"risso’s_dolphin,_grampus"
fraser’s_dolphin,fraser’s_dolphin,Lagenodelphis_hosei,
atlantic_white-sided_dolphin,atlantic_white-sided_dolphin,Lagenorhynchus_acutus,
white-beaked_dolphin,white-beaked_dolphin,Lagenorhynchus_albirostris,
peale’s_dolphin,peale’s_dolphin,Lagenorhynchus_australis,
hourglass_dolphin,hourglass_dolphin,Lagenorhynchus_cruciger,
pacific_white-sided_dolphin,pacific_white-sided_dolphin,Lagenorhynchus_obliquidens,
dusky_dolphin,dusky_dolphin,Lagenorhynchus_obscurus,
fitzroy’s_dolphin,fitzroy’s_dolphin,L._o._fitzroyi,
african_dusky_dolphin,african_dusky_dolphin,L._o._obscurus,
peruvian/chilean_dusky_dolphin,peruvian/chilean_dusky_dolphin,L._o._posidonia,
northern_right-whale_dolphin,northern_right-whale_dolphin,Lissodelphis_borealis,
southern_right-whale_dolphin,southern_right-whale_dolphin,Lissodelphis_peronii,
irrawaddy_dolphin,irrawaddy_dolphin,Orcaella_brevirostris,"irrawaddy_dolphin,_pesut"
australian_snubfin_dolphin,australian_snubfin_dolphin,Orcaella_heinsohni,
killer_whale,killer_whale,Orcinus_orca,"killer_whale,_orca"
resident_killer_whale,resident_killer_whale,O._o._ater,
common_killer_whale,common_killer_whale,O._o._orca,
bigg’s_killer_whale,bigg’s_killer_whale,O._o._rectipinnus,
melon-headed_whale,melon-headed_whale,Peponocephala_electra,
false_killer_whale,false_killer_whale,Pseudorca_crassidens,
atlantic_humpback_dolphin,atlantic_humpback_dolphin,Sousa_teuszii,
indo-pacific_humpback_dolphin,indo-pacific_humpback_dolphin,Sousa_chinensis,
chinese_humpback_dolphin,chinese_humpback_dolphin,S._c._chinensis,
taiwanese_humpback_dolphin,taiwanese_humpback_dolphin,S._c._taiwanensis,
indian_ocean_humpback_dolphin,indian_ocean_humpback_dolphin,Sousa_plumbea,
australian_humpback_dolphin,australian_humpback_dolphin,Sousa_sahulensis,
tucuxi,tucuxi,Sotalia_fluviatilis,
guiana_dolphin,guiana_dolphin,Sotalia_guianensis,"guiana_dolphin,_costero"
pantropical_spotted_dolphin,pantropical_spotted_dolphin,Stenella_attenuata,
offshore_pantropical_spotted_dolphin,offshore_pantropical_spotted_dolphin,S._a._attenuata,
coastal_pantropical_spotted_dolphin,coastal_pantropical_spotted_dolphin,S._a._graffmani,
clymene_dolphin,clymene_dolphin,Stenella_clymene,
striped_dolphin,striped_dolphin,Stenella_coeruleoalba,
atlantic_spotted_dolphin,atlantic_spotted_dolphin,Stenella_frontalis,
spinner_dolphin,spinner_dolphin,Stenella_longirostris,
central_american_spinner_dolphin,central_american_spinner_dolphin,S._l._centroamericana,
gray’s_spinner_dolphin,gray’s_spinner_dolphin,S._l._longirostris,
eastern_spinner_dolphin,eastern_spinner_dolphin,S._l._orientalis,
dwarf_spinner_dolphin,dwarf_spinner_dolphin,S._l._roseiventris,
rough-toothed_dolphin,rough-toothed_dolphin,Steno_bredanensis,
indo-pacific_bottlenose_dolphin,indo-pacific_bottlenose_dolphin,Tursiops_aduncus,
tamanend’s_bottlenose_dolphin,tamanend’s_bottlenose_dolphin,Tursiops_erebennus,
common bottlenose_dolphin,common bottlenose_dolphin,Tursiops_truncatus_truncatus,
lahille’s_bottlenose_dolphin,lahille’s_bottlenose_dolphin,Tursiops_truncatus_gephyreus,
eastern_tropical_pacific_bottlenose_dolphin,eastern_tropical_pacific_bottlenose_dolphin,Tursiops_truncatus_nuuanu,
black_sea_bottlenose_dolphin,black_sea_bottlenose_dolphin,Tursiops_truncatus_ponticus,
indo-pacific_finless_porpoise,indo-pacific_finless_porpoise,Neophocaena_phocaenoides,
narrow-ridged_finless_porpoise,narrow-ridged_finless_porpoise,Neophocaena_asiaeorientalis,
yangtze_finless_porpoise,yangtze_finless_porpoise,N._a._asiaeorientalis,
east_asian_finless_porpoise,east_asian_finless_porpoise,N._a._sunameri,
spectacled_porpoise,spectacled_porpoise,Phocoena_dioptrica,
harbor_porpoise,harbor_porpoise,Phocoena_phocoena,
atlantic_harbor_porpoise,atlantic_harbor_porpoise,P._p._phocoena,
pacific_harbor_porpoise,pacific_harbor_porpoise,P._p._vomerina,
black_sea_harbor_porpoise,black_sea_harbor_porpoise,P._p._relicta,
vaquita,vaquita,Phocoena_sinus,"vaquita,_gulf_of_california_harbor_porpoise"
burmeister’s_porpoise,burmeister’s_porpoise,Phocoena_spinipinnis,
dall’s_porpoise,dall’s_porpoise,Phocoenoides_dalli,
dalli-type_dall’s_porpoise,dalli-type_dall’s_porpoise,P._d._dalli,
truei-type_dall’s_porpoise,truei-type_dall’s_porpoise,P._d._truei,
