unidentified_dolphin,unidentified_dolphin
unidentified_large_baleen_whale,unidentified_large_baleen_whale
unidentified_large_whale,unidentified_large_whale
unidentified_porpoise,unidentified_porpoise
unidentified_small_whale,unidentified_small_whale
unidentified_whale,unidentified_whale
bowhead_whale,bowhead_whale
north_atlantic_right_whale,north_atlantic_right_whale
north_pacific_right_whale,north_pacific_right_whale
southern_right_whale,southern_right_whale
pygmy_right_whale,pygmy_right_whale
gray_whale,gray_whale
common_minke_whale,common_minke_whale
north_atlantic_minke_whale,north_atlantic_minke_whale
north_pacific_minke_whale,north_pacific_minke_whale
antarctic_minke_whale,antarctic_minke_whale
sei_whale,sei_whale
northern_sei_whale,northern_sei_whale
southern_sei_whale,southern_sei_whale
brydes_whale,brydes_whale
edens_whale,edens_whale
blue_whale,blue_whale
northern_blue_whale,northern_blue_whale
antarctic_blue_whale,antarctic_blue_whale
northern_indian_ocean_blue_whale,northern_indian_ocean_blue_whale
pygmy_blue_whale,pygmy_blue_whale
omuras_whale,omuras_whale
fin_whale,fin_whale
north_atlantic_fin_whale,north_atlantic_fin_whale
southern_fin_whale,southern_fin_whale
north_pacific_fin_whale,north_pacific_fin_whale
rices_whale,rices_whale
humpback_whale,humpback_whale
southern_humpback_whale,southern_humpback_whale
north_pacific_humpback_whale,north_pacific_humpback_whale
north_atlantic_humpback_whale,north_atlantic_humpback_whale
sperm_whale,sperm_whale
pygmy_sperm_whale,pygmy_sperm_whale
dwarf_sperm_whale,dwarf_sperm_whale
beaked_whale,beaked_whale
arnouxs_beaked_whale,arnouxs_beaked_whale
bairds_beaked_whale,bairds_beaked_whale
satos_beaked_whale,satos_beaked_whale
northern_bottlenose_whale,northern_bottlenose_whale
southern_bottlenose_whale,southern_bottlenose_whale
longmans_beaked_whale,longmans_beaked_whale
sowerbys_beaked_whale,sowerbys_beaked_whale
andrews_beaked_whale,andrews_beaked_whale
hubbs_beaked_whale,hubbs_beaked_whale
ramaris_beaked_whale,ramaris_beaked_whale
gervais_beaked_whale,gervais_beaked_whale
ginkgo-toothed_beaked_whale,ginkgo-toothed_beaked_whale
grays_beaked_whale,grays_beaked_whale
hectors_beaked_whale,hectors_beaked_whale
deraniyagalas_beaked_whale,deraniyagalas_beaked_whale
strap-toothed_beaked_whale,strap-toothed_beaked_whale
trues_beaked_whale,trues_beaked_whale
perrins_beaked_whale,perrins_beaked_whale
pygmy_beaked_whale,pygmy_beaked_whale
stejnegers_beaked_whale,stejnegers_beaked_whale
spade-toothed_whale,spade-toothed_whale
blainvilles_beaked_whale,blainvilles_beaked_whale
shepherds_beaked_whale,shepherds_beaked_whale
cuviers_beaked_whale,cuviers_beaked_whale
ganges_river_dolphin,ganges_river_dolphin
indus_river_dolphin,indus_river_dolphin
amazon_river_dolphin,amazon_river_dolphin
bolivian_bufeo,bolivian_bufeo
common_boto,common_boto
yangtze_river_dolphin,yangtze_river_dolphin
franciscana,franciscana
pukusi_franciscana,pukusi_franciscana
beluga,beluga
narwhal,narwhal
commersons_dolphin,commersons_dolphin
kerguelen_dolphin,kerguelen_dolphin
chilean_dolphin,chilean_dolphin
heavisides_dolphin,heavisides_dolphin
hectors_dolphin,hectors_dolphin
south_island_hectors_dolphin,south_island_hectors_dolphin
maui_dolphin,maui_dolphin
common_dolphin,common_dolphin
eastern_pacific_long-beaked_common_dolphin,eastern_pacific_long-beaked_common_dolphin
black_sea_common_dolphin,black_sea_common_dolphin
indo-pacific_common_dolphin,indo-pacific_common_dolphin
pygmy_killer_whale,pygmy_killer_whale
short-finned_pilot_whale,short-finned_pilot_whale
long-finned_pilot_whale,long-finned_pilot_whale
southern_long-finned_pilot_whale,southern_long-finned_pilot_whale
north_atlantic_long-finned_pilot_whale,north_atlantic_long-finned_pilot_whale
rissos_dolphin,rissos_dolphin
frasers_dolphin,frasers_dolphin
atlantic_white-sided_dolphin,atlantic_white-sided_dolphin
white-beaked_dolphin,white-beaked_dolphin
peales_dolphin,peales_dolphin
hourglass_dolphin,hourglass_dolphin
pacific_white-sided_dolphin,pacific_white-sided_dolphin
dusky_dolphin,dusky_dolphin
fitzroys_dolphin,fitzroys_dolphin
african_dusky_dolphin,african_dusky_dolphin
peruvian_chilean_dusky_dolphin,peruvian_chilean_dusky_dolphin
northern_right-whale_dolphin,northern_right-whale_dolphin
southern_right-whale_dolphin,southern_right-whale_dolphin
irrawaddy_dolphin,irrawaddy_dolphin
australian_snubfin_dolphin,australian_snubfin_dolphin
killer_whale,killer_whale
resident_killer_whale,resident_killer_whale
common_killer_whale,common_killer_whale
biggs_killer_whale,biggs_killer_whale
melon-headed_whale,melon-headed_whale
false_killer_whale,false_killer_whale
atlantic_humpback_dolphin,atlantic_humpback_dolphin
indo-pacific_humpback_dolphin,indo-pacific_humpback_dolphin
chinese_humpback_dolphin,chinese_humpback_dolphin
